Robin Wright
Meryl Streep
Julia Roberts
Angelina Jolie
Cate Blanchett
Nicole Kidman
Emma Watson
Scarlett Johansson
Charlize Theron
Sandra Bullock
Jennifer Aniston
Jennifer Lawrence
Reese Witherspoon
Kate Winslet
Anne Hathaway
Natalie Portman
Mila Kunis
Emma Stone
Anya Taylor-Joy
Keira Knightley
Julianne Moore
Viola Davis
Brie Larson
Helen Mirren
Amy Adams
Michelle Pfeiffer
Sigourney Weaver
Rachel McAdams
Tilda Swinton
Zoe Saldana
Octavia Spencer
Salma Hayek
Lupita Nyong'o
Uma Thurman
Halle Berry
Catherine Zeta-Jones
Diane Keaton
Shirley MacLaine
Judi Dench
Maggie Smith
Maggie Gyllenhaal
Rachel Weisz
Naomi Watts
Liv Tyler
Michelle Rodriguez
Emma Thompson
Kirsten Dunst
Thandie Newton
Mira Sorvino
Jessica Chastain
Bette Davis
Joan Crawford
Grace Kelly
Audrey Hepburn
Elizabeth Taylor
Marilyn Monroe
Marlene Dietrich
Greta Garbo
Judy Garland
Ginger Rogers
Emilia Clarke
Bryce Dallas Howard
Mae West
Katharine Hepburn
Vivien Leigh
Ingrid Bergman
Jane Fonda
Faye Dunaway
Diana Ross
Liza Minnelli
Glenn Close
Annette Bening
Laura Linney
Frances McDormand
Toni Collette
Sandra Oh
Gong Li
Michelle Yeoh
Fan Bingbing
Zhang Ziyi
Zhao Wei
Brigitte Lin
Isabelle Huppert
Juliette Binoche
Catherine Deneuve
Isabelle Adjani
Emmanuelle Béart
Monica Bellucci
Marion Cotillard
Audrey Tautou
Bérénice Bejo
Ludivine Sagnier
Mélanie Laurent
Carole Bouquet
Sophie Marceau
Eva Green
Charlotte Gainsbourg
Léa Seydoux
Isabelle Fuhrman
Tilda Cobham-Hervey
Elle Fanning
Margot Robbie
Saoirse Ronan
Gisele Bündchen
Kate Moss
Naomi Campbell
Cindy Crawford
Heidi Klum
Tyra Banks
Christy Turlington
Adriana Lima
Claudia Schiffer
Karlie Kloss
Bella Hadid
Gigi Hadid
Kendall Jenner
Iman
Joan Smalls
Linda Evangelista
Natalia Vodianova
Doutzen Kroes
Cara Delevingne
Jourdan Dunn
Chanel Iman
Alessandra Ambrosio
Karolina Kurkova
Amber Valletta
Irina Shayk
Beyoncé
Adele
Taylor Swift
Rihanna
Whitney Houston
Mariah Carey
Ariana Grande
Lady Gaga
Madonna
Katy Perry
Jennifer Lopez
Pink
Shakira
Celine Dion
Christina Aguilera
Dua Lipa
Selena Gomez
Billie Eilish
Janet Jackson
Demi Lovato
Sia
Kelly Clarkson
Amy Winehouse
Alicia Keys
Barbra Streisand
Gwen Stefani
Britney Spears
Mary J. Blige
Carrie Underwood
Miley Cyrus
Ari Lennox
Lizzo
Florence Welch
H.E.R.
Janelle Monae
Kacey Musgraves
Lorde
Sade
Stevie Nicks
Tinashe
Tori Kelly
Vanessa Carlton
Zara Larsson
Jessie J
Duffy
Norah Jones
Kehlani
Jorja Smith
Ella Mai
Angela Merkel
Jacinda Ardern
Tsai Ing-wen
Aung San Suu Kyi
Sheikh Hasina
Cleopatra
Joan of Arc
Queen Victoria
Margaret Thatcher
Mother Teresa
Princess Diana
Queen Elizabeth II
Oprah Winfrey
Serena Williams
A.J. Cook
Abbie Cornish
Adrianne Palicki
Agam Darshi
Aimee Garcia
Aishwariya Rai
Alanna Ubach
Alexa PenaVega
Alexandra Daddario
Alexis Bledel
Ali Cobrin
Ali Larter
Alice Braga
